sample_id,source_video_id,window_id,mean_bubble_count,max_bubble_count,std_bubble_count,continuity_ratio,mean_vertical_chain,temporal_variance,prev3_mean_bubble_count,prev3_std_bubble_count,prev3_continuity_ratio,prev3_mean_vertical_chain,leak_evolution,label
L_G12_PSI10_V001_W0000,L_G12_PSI10_V001,0,1.4,2.0,0.966092,0.7,1.7,0.933333,0.0,0.0,0.0,0.0,1.4,0
L_G12_PSI10_V001_W0001,L_G12_PSI10_V001,1,0.7,3.0,1.159502,0.3,1.4,1.344444,1.4,0.966092,0.7,1.7,-0.7,0
L_G12_PSI10_V001_W0002,L_G12_PSI10_V001,2,0.6,2.0,0.966092,0.3,1.3,0.933333,1.05,1.062797,0.5,1.55,-0.45,0
L_G12_PSI10_V001_W0003,L_G12_PSI10_V001,3,0.4,2.0,0.843274,0.2,1.2,0.711111,0.9,1.030562,0.433333,1.466667,-0.5,0
L_G12_PSI10_V001_W0004,L_G12_PSI10_V001,4,1.8,5.0,2.043961,0.5,2.3,4.177778,0.566667,0.989623,0.266667,1.3,1.233333,1
L_G12_PSI10_V001_W0005,L_G12_PSI10_V001,5,4.2,11.0,3.190263,0.9,3.0,10.177778,0.933333,1.284442,0.333333,1.6,3.266667,1
L_G12_PSI10_V001_W0006,L_G12_PSI10_V001,6,13.0,23.0,5.142416,1.0,4.9,26.444444,2.133333,2.025833,0.533333,2.166667,10.866667,1
L_G12_PSI10_V001_W0007,L_G12_PSI10_V001,7,11.8,16.0,2.973961,1.0,5.9,8.844444,6.333333,3.45888,0.8,3.4,5.466667,1
L_G12_PSI10_V001_W0008,L_G12_PSI10_V001,8,5.7,10.0,2.626785,1.0,3.4,6.9,9.666667,3.76888,0.966667,4.6,-3.966667,1
L_G12_PSI10_V001_W0009,L_G12_PSI10_V001,9,11.4,17.0,4.168666,1.0,4.8,17.377778,10.166667,3.581054,1.0,4.733333,1.233333,1
L_G12_PSI10_V001_W0010,L_G12_PSI10_V001,10,7.3,13.0,3.164034,1.0,4.3,10.011111,9.633333,3.256471,1.0,4.7,-2.333333,1
L_G12_PSI10_V001_W0011,L_G12_PSI10_V001,11,11.2,16.0,2.973961,1.0,6.2,8.844444,8.133333,3.319828,1.0,4.166667,3.066667,1
L_G12_PSI10_V001_W0012,L_G12_PSI10_V001,12,11.9,22.0,6.081849,1.0,6.0,36.988889,9.966667,3.435554,1.0,5.1,1.933333,1
L_G12_PSI10_V001_W0013,L_G12_PSI10_V001,13,12.5,16.0,2.27303,1.0,4.1,5.166667,10.133333,4.073281,1.0,5.5,2.366667,1
L_G12_PSI10_V001_W0014,L_G12_PSI10_V001,14,13.8,24.0,4.54117,1.0,5.3,20.622222,11.866667,3.77628,1.0,5.433333,1.933333,1
L_G12_PSI10_V001_W0015,L_G12_PSI10_V001,15,12.4,18.0,2.503331,1.0,4.7,6.266667,12.733333,4.298683,1.0,5.133333,-0.333333,1
L_G12_PSI10_V001_W0016,L_G12_PSI10_V001,16,10.3,17.0,4.270051,1.0,5.6,18.233333,12.9,3.105844,1.0,4.7,-2.6,1
L_G12_PSI10_V001_W0017,L_G12_PSI10_V001,17,12.3,19.0,4.191261,1.0,7.2,17.566667,12.166667,3.771517,1.0,5.2,0.133333,1
L_G12_PSI10_V001_W0018,L_G12_PSI10_V001,18,14.8,20.0,4.442222,1.0,4.9,19.733333,11.666667,3.654881,1.0,5.833333,3.133333,1
L_G12_PSI10_V001_W0019,L_G12_PSI10_V001,19,15.6,21.0,4.812022,1.0,6.8,23.155556,12.466667,4.301178,1.0,5.9,3.133333,1
L_G12_PSI10_V001_W0020,L_G12_PSI10_V001,20,15.7,21.0,4.24395,1.0,7.3,18.011111,14.233333,4.481835,1.0,6.3,1.466667,1
L_G12_PSI10_V001_W0021,L_G12_PSI10_V001,21,15.4,24.0,5.059644,1.0,6.5,25.6,15.366667,4.499398,1.0,6.333333,0.033333,1
L_G12_PSI10_V001_W0022,L_G12_PSI10_V001,22,20.1,27.0,4.976612,1.0,7.8,24.766667,15.566667,4.705205,1.0,6.866667,4.533333,1
L_G12_PSI10_V001_W0023,L_G12_PSI10_V001,23,15.5,21.0,3.597839,1.0,5.3,12.944444,17.066667,4.760069,1.0,7.2,-1.566667,1
L_G12_PSI10_V001_W0024,L_G12_PSI10_V001,24,14.8,21.0,4.049691,1.0,6.2,16.4,17.0,4.544698,1.0,6.533333,-2.2,1
L_G12_PSI10_V001_W0025,L_G12_PSI10_V001,25,14.9,18.0,2.806738,1.0,5.6,7.877778,16.8,4.208047,1.0,6.433333,-1.9,1
L_G12_PSI10_V001_W0026,L_G12_PSI10_V001,26,7.6,11.0,2.54733,1.0,4.1,6.488889,15.066667,3.484756,1.0,5.7,-7.466667,1
L_G12_PSI10_V001_W0027,L_G12_PSI10_V001,27,13.8,17.0,2.616189,1.0,7.1,6.844444,12.433333,3.134586,1.0,5.3,1.366667,1
L_G12_PSI10_V001_W0028,L_G12_PSI10_V001,28,15.3,21.0,2.790858,1.0,6.5,7.788889,12.1,2.656752,1.0,5.6,3.2,1
L_G12_PSI10_V001_W0029,L_G12_PSI10_V001,29,15.3,24.0,4.595892,1.0,4.9,21.122222,12.233333,2.651459,1.0,5.9,3.066667,1
L_G12_PSI10_V001_W0030,L_G12_PSI10_V001,30,8.9,12.0,2.282786,1.0,5.0,5.211111,14.8,3.334313,1.0,6.166667,-5.9,1
L_G12_PSI10_V001_W0031,L_G12_PSI10_V001,31,5.8,11.0,4.157991,0.8,2.8,17.288889,13.166667,3.223179,1.0,5.466667,-7.366667,1
L_G12_PSI10_V001_W0032,L_G12_PSI10_V001,32,0.6,2.0,0.966092,0.3,1.3,0.933333,10.0,3.67889,0.933333,4.233333,-9.4,0
L_G12_PSI10_V001_W0033,L_G12_PSI10_V001,33,0.9,5.0,1.66333,0.3,1.4,2.766667,5.1,2.468956,0.7,3.033333,-4.2,0
L_G12_PSI12_V001_W0000,L_G12_PSI12_V001,0,0.2,2.0,0.632456,0.1,1.1,0.4,0.0,0.0,0.0,0.0,0.2,0
L_G12_PSI12_V001_W0001,L_G12_PSI12_V001,1,0.2,2.0,0.632456,0.1,1.1,0.4,0.2,0.632456,0.1,1.1,0.0,0
L_G12_PSI12_V001_W0002,L_G12_PSI12_V001,2,0.8,2.0,1.032796,0.4,1.4,1.066667,0.2,0.632456,0.1,1.1,0.6,0
L_G12_PSI12_V001_W0003,L_G12_PSI12_V001,3,1.9,4.0,1.449138,0.7,2.1,2.1,0.4,0.765902,0.2,1.2,1.5,0
L_G12_PSI12_V001_W0004,L_G12_PSI12_V001,4,3.1,7.0,2.378141,0.8,2.6,5.655556,0.966667,1.03813,0.4,1.533333,2.133333,1
L_G12_PSI12_V001_W0005,L_G12_PSI12_V001,5,11.3,18.0,3.772709,1.0,4.2,14.233333,1.933333,1.620025,0.633333,2.033333,9.366667,1
L_G12_PSI12_V001_W0006,L_G12_PSI12_V001,6,11.7,20.0,4.137901,1.0,4.0,17.122222,5.433333,2.533329,0.833333,2.966667,6.266667,1
L_G12_PSI12_V001_W0007,L_G12_PSI12_V001,7,9.9,16.0,2.378141,1.0,4.4,5.655556,8.7,3.429584,0.933333,3.6,1.2,1
L_G12_PSI12_V001_W0008,L_G12_PSI12_V001,8,12.3,19.0,4.056545,1.0,5.1,16.455556,10.966667,3.429584,1.0,4.2,1.333333,1
L_G12_PSI12_V001_W0009,L_G12_PSI12_V001,9,12.5,19.0,3.24037,1.0,5.6,10.5,11.3,3.524196,1.0,4.5,1.2,1
L_G12_PSI12_V001_W0010,L_G12_PSI12_V001,10,14.2,19.0,3.259175,1.0,3.9,10.622222,11.566667,3.225019,1.0,5.033333,2.633333,1
L_G12_PSI12_V001_W0011,L_G12_PSI12_V001,11,11.8,17.0,3.084009,1.0,4.9,9.511111,13.0,3.518697,1.0,4.866667,-1.2,1
L_G12_PSI12_V001_W0012,L_G12_PSI12_V001,12,11.5,16.0,3.472111,1.0,5.0,12.055556,12.833333,3.194518,1.0,4.8,-1.333333,1
L_G12_PSI12_V001_W0013,L_G12_PSI12_V001,13,12.5,22.0,6.041523,1.0,4.5,36.5,12.5,3.271765,1.0,4.6,0.0,1
L_G12_PSI12_V001_W0014,L_G12_PSI12_V001,14,19.6,27.0,5.081557,1.0,5.1,25.822222,11.933333,4.199214,1.0,4.8,7.666667,1
L_G12_PSI12_V001_W0015,L_G12_PSI12_V001,15,16.1,25.0,4.45845,1.0,5.9,19.877778,14.533333,4.865064,1.0,4.866667,1.566667,1
L_G12_PSI12_V001_W0016,L_G12_PSI12_V001,16,15.8,22.0,3.614784,1.0,6.2,13.066667,16.066667,5.193843,1.0,5.166667,-0.266667,1
L_G12_PSI12_V001_W0017,L_G12_PSI12_V001,17,18.3,24.0,4.854551,1.0,8.5,23.566667,17.166667,4.384931,1.0,5.733333,1.133333,1
L_G12_PSI12_V001_W0018,L_G12_PSI12_V001,18,18.6,24.0,3.405877,1.0,4.1,11.6,16.733333,4.309262,1.0,6.866667,1.866667,1
L_G12_PSI12_V001_W0019,L_G12_PSI12_V001,19,14.1,19.0,3.784471,1.0,4.8,14.322222,17.566667,3.958404,1.0,6.266667,-3.466667,1
L_G12_PSI12_V001_W0020,L_G12_PSI12_V001,20,13.7,18.0,2.830391,1.0,6.4,8.011111,17.0,4.014967,1.0,5.8,-3.3,1
L_G12_PSI12_V001_W0021,L_G12_PSI12_V001,21,16.8,24.0,4.442222,1.0,5.9,19.733333,15.466667,3.340246,1.0,5.1,1.333333,1
L_G12_PSI12_V001_W0022,L_G12_PSI12_V001,22,12.1,18.0,4.557046,1.0,5.5,20.766667,14.866667,3.685694,1.0,5.7,-2.766667,1
L_G12_PSI12_V001_W0023,L_G12_PSI12_V001,23,13.0,18.0,3.972125,1.0,5.2,15.777778,14.2,3.943219,1.0,5.933333,-1.2,1
L_G12_PSI12_V001_W0024,L_G12_PSI12_V001,24,14.3,22.0,4.522782,1.0,5.3,20.455556,13.966667,4.323798,1.0,5.533333,0.333333,1
L_G12_PSI12_V001_W0025,L_G12_PSI12_V001,25,15.7,21.0,2.790858,1.0,4.9,7.788889,13.133333,4.350651,1.0,5.333333,2.566667,1
L_G12_PSI12_V001_W0026,L_G12_PSI12_V001,26,14.6,19.0,3.949684,1.0,5.5,15.6,14.333333,3.761922,1.0,5.133333,0.266667,1
L_G12_PSI12_V001_W0027,L_G12_PSI12_V001,27,11.8,21.0,5.593647,1.0,6.2,31.288889,14.866667,3.754441,1.0,5.233333,-3.066667,1
L_G12_PSI12_V001_W0028,L_G12_PSI12_V001,28,14.0,18.0,2.108185,1.0,4.5,4.444444,14.033333,4.111396,1.0,5.533333,-0.033333,1
L_G12_PSI12_V001_W0029,L_G12_PSI12_V001,29,12.7,17.0,2.983287,1.0,4.6,8.9,13.466667,3.883839,1.0,5.4,-0.766667,1
L_G12_PSI12_V001_W0030,L_G12_PSI12_V001,30,18.5,24.0,3.439961,1.0,6.0,11.833333,12.833333,3.561706,1.0,5.1,5.666667,1
L_G12_PSI12_V001_W0031,L_G12_PSI12_V001,31,13.1,21.0,5.606544,1.0,5.8,31.433333,15.066667,2.843811,1.0,5.033333,-1.966667,1
L_G12_PSI12_V001_W0032,L_G12_PSI12_V001,32,10.3,14.0,2.58414,1.0,4.4,6.677778,14.766667,4.009931,1.0,5.466667,-4.466667,1
L_G12_PSI12_V001_W0033,L_G12_PSI12_V001,33,9.8,12.0,2.347576,1.0,4.3,5.511111,13.966667,3.876882,1.0,5.4,-4.166667,1
L_G12_PSI12_V001_W0034,L_G12_PSI12_V001,34,12.4,18.0,3.272783,1.0,5.8,10.711111,11.066667,3.512753,1.0,4.833333,1.333333,1
L_G12_PSI12_V001_W0035,L_G12_PSI12_V001,35,12.4,22.0,5.337498,1.0,5.1,28.488889,10.833333,2.734833,1.0,4.833333,1.566667,1
L_G12_PSI12_V001_W0036,L_G12_PSI12_V001,36,12.2,17.0,2.529822,1.0,5.5,6.4,11.533333,3.652619,1.0,5.066667,0.666667,1
L_G12_PSI12_V001_W0037,L_G12_PSI12_V001,37,12.0,17.0,4.21637,1.0,4.4,17.777778,12.333333,3.713368,1.0,5.466667,-0.333333,1
L_G12_PSI12_V001_W0038,L_G12_PSI12_V001,38,3.7,5.0,1.567021,0.9,2.3,2.455556,12.2,4.027897,1.0,5.0,-8.5,0
L_G12_PSI12_V001_W0039,L_G12_PSI12_V001,39,1.7,5.0,1.766981,0.6,1.6,3.122222,9.3,2.771071,0.966667,4.066667,-7.6,0
L_G12_PSI12_V001_W0040,L_G12_PSI12_V001,40,0.2,2.0,0.632456,0.1,1.1,0.4,5.8,2.516791,0.833333,2.766667,-5.6,0
L_G12_PSI12_V001_W0041,L_G12_PSI12_V001,41,0.4,2.0,0.843274,0.2,1.2,0.711111,1.866667,1.322153,0.533333,1.666667,-1.466667,0
L_G12_PSI12_V001_W0042,L_G12_PSI12_V001,42,0.6,2.0,0.966092,0.3,1.3,0.933333,0.766667,1.080904,0.3,1.3,-0.166667,0
L_G12_PSI12_V001_W0043,L_G12_PSI12_V001,43,0.2,2.0,0.632456,0.1,1.1,0.4,0.4,0.81394,0.2,1.2,-0.2,0
L_G12_PSI12_V001_W0044,L_G12_PSI12_V001,44,1.0,2.0,1.054093,0.5,1.5,1.111111,0.4,0.81394,0.2,1.2,0.6,0
L_G12_PSI12_V001_W0047,L_G12_PSI12_V001,47,0.6,2.0,0.966092,0.3,1.3,0.933333,0.333333,0.351364,0.166667,1.166667,0.266667,0
L_G12_PSI14_V001_W0000,L_G12_PSI14_V001,0,0.2,2.0,0.632456,0.1,1.1,0.4,0.0,0.0,0.0,0.0,0.2,0
L_G12_PSI14_V001_W0002,L_G12_PSI14_V001,2,0.6,2.0,0.966092,0.3,1.3,0.933333,0.1,0.316228,0.05,1.05,0.5,0
L_G12_PSI14_V001_W0003,L_G12_PSI14_V001,3,0.9,5.0,1.66333,0.3,1.6,2.766667,0.266667,0.532849,0.133333,1.133333,0.633333,0
L_G12_PSI14_V001_W0004,L_G12_PSI14_V001,4,4.3,8.0,2.58414,0.9,3.0,6.677778,0.5,0.876474,0.2,1.3,3.8,1
L_G12_PSI14_V001_W0005,L_G12_PSI14_V001,5,8.5,20.0,4.88194,1.0,3.7,23.833333,1.933333,1.737854,0.5,1.966667,6.566667,1
L_G12_PSI14_V001_W0006,L_G12_PSI14_V001,6,10.9,15.0,3.28126,1.0,4.3,10.766667,4.566667,3.043136,0.733333,2.766667,6.333333,1
L_G12_PSI14_V001_W0007,L_G12_PSI14_V001,7,14.4,19.0,4.477102,1.0,4.3,20.044444,7.9,3.582446,0.966667,3.666667,6.5,1
L_G12_PSI14_V001_W0008,L_G12_PSI14_V001,8,15.1,24.0,4.886489,1.0,4.8,23.877778,11.266667,4.213434,1.0,4.1,3.833333,1
L_G12_PSI14_V001_W0009,L_G12_PSI14_V001,9,8.6,13.0,3.134042,1.0,4.1,9.822222,13.466667,4.21495,1.0,4.466667,-4.866667,1
L_G12_PSI14_V001_W0010,L_G12_PSI14_V001,10,13.5,22.0,5.038739,1.0,6.1,25.388889,12.7,4.165878,1.0,4.4,0.8,1
L_G12_PSI14_V001_W0011,L_G12_PSI14_V001,11,20.6,24.0,3.627059,1.0,6.5,13.155556,12.4,4.35309,1.0,5.0,8.2,1
L_G12_PSI14_V001_W0012,L_G12_PSI14_V001,12,18.9,27.0,4.254409,1.0,8.8,18.1,14.233333,3.93328,1.0,5.566667,4.666667,1
L_G12_PSI14_V001_W0013,L_G12_PSI14_V001,13,16.0,23.0,3.91578,1.0,5.3,15.333333,17.666667,4.306736,1.0,7.133333,-1.666667,1
L_G12_PSI14_V001_W0014,L_G12_PSI14_V001,14,16.7,26.0,4.877385,1.0,4.2,23.788889,18.5,3.932416,1.0,6.866667,-1.8,1
L_G12_PSI14_V001_W0015,L_G12_PSI14_V001,15,10.6,17.0,3.806427,1.0,5.2,14.488889,17.2,4.349192,1.0,6.1,-6.6,1
L_G12_PSI14_V001_W0016,L_G12_PSI14_V001,16,10.9,15.0,3.28126,1.0,5.2,10.766667,14.433333,4.199864,1.0,4.9,-3.533333,1
L_G12_PSI14_V001_W0017,L_G12_PSI14_V001,17,13.9,20.0,3.928528,1.0,4.7,15.433333,12.733333,3.988358,1.0,4.866667,1.166667,1
L_G12_PSI14_V001_W0018,L_G12_PSI14_V001,18,14.2,23.0,5.613476,1.0,6.1,31.511111,11.8,3.672072,1.0,5.033333,2.4,1
L_G12_PSI14_V001_W0019,L_G12_PSI14_V001,19,11.6,19.0,4.695151,1.0,4.7,22.044444,13.0,4.274421,1.0,5.333333,-1.4,1
L_G12_PSI14_V001_W0020,L_G12_PSI14_V001,20,15.0,19.0,2.44949,1.0,6.7,6.0,13.233333,4.745718,1.0,5.166667,1.766667,1
L_G12_PSI14_V001_W0021,L_G12_PSI14_V001,21,10.4,19.0,5.521674,1.0,3.7,30.488889,13.6,4.252706,1.0,5.833333,-3.2,1
L_G12_PSI14_V001_W0022,L_G12_PSI14_V001,22,13.9,21.0,3.247221,1.0,5.1,10.544444,12.333333,4.222105,1.0,5.033333,1.566667,1
L_G12_PSI14_V001_W0023,L_G12_PSI14_V001,23,19.6,27.0,5.541761,1.0,5.9,30.711111,13.1,3.739462,1.0,5.166667,6.5,1
L_G12_PSI14_V001_W0024,L_G12_PSI14_V001,24,20.1,26.0,3.446415,1.0,5.6,11.877778,14.633333,4.770219,1.0,4.9,5.466667,1
L_G12_PSI14_V001_W0025,L_G12_PSI14_V001,25,15.3,20.0,2.58414,1.0,4.4,6.677778,17.866667,4.078466,1.0,5.533333,-2.566667,1
L_G12_PSI14_V001_W0026,L_G12_PSI14_V001,26,13.7,19.0,3.465705,1.0,5.1,12.011111,18.333333,3.857439,1.0,5.3,-4.633333,1
L_G12_PSI14_V001_W0027,L_G12_PSI14_V001,27,11.5,17.0,3.95109,1.0,6.3,15.611111,16.366667,3.16542,1.0,5.033333,-4.866667,1
L_G12_PSI14_V001_W0028,L_G12_PSI14_V001,28,14.6,19.0,2.875181,1.0,6.0,8.266667,13.5,3.333645,1.0,5.266667,1.1,1
L_G12_PSI14_V001_W0029,L_G12_PSI14_V001,29,17.1,22.0,2.378141,1.0,7.2,5.655556,13.266667,3.430659,1.0,5.8,3.833333,1
L_G12_PSI14_V001_W0030,L_G12_PSI14_V001,30,12.1,15.0,2.282786,1.0,4.0,5.211111,14.4,3.068137,1.0,6.5,-2.3,1
L_G12_PSI14_V001_W0031,L_G12_PSI14_V001,31,5.8,11.0,3.259175,0.9,3.7,10.622222,14.6,2.512036,1.0,5.733333,-8.8,1
L_G12_PSI14_V001_W0032,L_G12_PSI14_V001,32,2.9,8.0,2.726414,0.7,2.0,7.433333,11.666667,2.640034,0.966667,4.966667,-8.766667,1
L_G12_PSI14_V001_W0033,L_G12_PSI14_V001,33,0.6,2.0,0.966092,0.3,1.3,0.933333,6.933333,2.756125,0.866667,3.233333,-6.333333,0
L_G12_PSI14_V001_W0034,L_G12_PSI14_V001,34,0.4,2.0,0.843274,0.2,1.2,0.711111,3.1,2.317227,0.633333,2.333333,-2.7,0
L_G12_PSI14_V001_W0035,L_G12_PSI14_V001,35,0.2,2.0,0.632456,0.1,1.1,0.4,1.3,1.511927,0.4,1.5,-1.1,0
L_G12_PSI14_V001_W0036,L_G12_PSI14_V001,36,0.2,2.0,0.632456,0.1,1.1,0.4,0.4,0.81394,0.2,1.2,-0.2,0
L_G12_PSI14_V001_W0037,L_G12_PSI14_V001,37,0.4,2.0,0.843274,0.2,1.2,0.711111,0.266667,0.702728,0.133333,1.133333,0.133333,0
L_G12_PSI14_V001_W0038,L_G12_PSI14_V001,38,0.4,2.0,0.843274,0.2,1.2,0.711111,0.266667,0.702728,0.133333,1.133333,0.133333,0
L_G12_PSI14_V001_W0039,L_G12_PSI14_V001,39,0.4,2.0,0.843274,0.2,1.1,0.711111,0.333333,0.773001,0.166667,1.166667,0.066667,0
L_G12_PSI14_V001_W0040,L_G12_PSI14_V001,40,0.4,2.0,0.843274,0.2,1.1,0.711111,0.4,0.843274,0.2,1.166667,0.0,0
L_G12_PSI14_V001_W0041,L_G12_PSI14_V001,41,0.4,2.0,0.843274,0.2,1.2,0.711111,0.4,0.843274,0.2,1.133333,0.0,0
L_G12_PSI14_V001_W0043,L_G12_PSI14_V001,43,0.8,2.0,1.032796,0.4,1.4,1.066667,0.266667,0.562183,0.133333,1.1,0.533333,0
L_G12_PSI14_V001_W0044,L_G12_PSI14_V001,44,1.7,3.0,0.948683,0.8,1.8,0.9,0.4,0.625357,0.2,1.2,1.3,0
L_G12_PSI14_V001_W0045,L_G12_PSI14_V001,45,0.4,2.0,0.843274,0.2,1.2,0.711111,0.833333,0.660493,0.4,1.4,-0.433333,0
L_G12_PSI14_V001_W0046,L_G12_PSI14_V001,46,0.4,2.0,0.843274,0.2,1.2,0.711111,0.966667,0.941584,0.466667,1.466667,-0.566667,0
L_G12_PSI14_V001_W0047,L_G12_PSI14_V001,47,0.2,2.0,0.632456,0.1,1.1,0.4,0.833333,0.87841,0.4,1.4,-0.633333,0
L_G12_PSI14_V001_W0048,L_G12_PSI14_V001,48,0.6,2.0,0.966092,0.3,1.3,0.933333,0.333333,0.773001,0.166667,1.166667,0.266667,0
L_G12_PSI05_V001_W0000,L_G12_PSI05_V001,0,0.8,2.0,1.032796,0.4,1.4,1.066667,0.0,0.0,0.0,0.0,0.8,0
L_G12_PSI05_V001_W0001,L_G12_PSI05_V001,1,0.4,2.0,0.843274,0.2,1.2,0.711111,0.8,1.032796,0.4,1.4,-0.4,0
L_G12_PSI05_V001_W0002,L_G12_PSI05_V001,2,0.4,2.0,0.843274,0.2,1.2,0.711111,0.6,0.938035,0.3,1.3,-0.2,0
L_G12_PSI05_V001_W0003,L_G12_PSI05_V001,3,0.4,2.0,0.843274,0.2,1.2,0.711111,0.533333,0.906448,0.266667,1.266667,-0.133333,0
L_G12_PSI05_V001_W0004,L_G12_PSI05_V001,4,1.0,4.0,1.414214,0.4,1.6,2.0,0.4,0.843274,0.2,1.2,0.6,0
L_G12_PSI05_V001_W0005,L_G12_PSI05_V001,5,3.1,6.0,2.024846,0.8,3.2,4.1,0.6,1.033587,0.266667,1.333333,2.5,1
L_G12_PSI05_V001_W0006,L_G12_PSI05_V001,6,10.5,17.0,4.527693,1.0,5.2,20.5,1.5,1.427444,0.466667,2.0,9.0,1
L_G12_PSI05_V001_W0007,L_G12_PSI05_V001,7,16.5,26.0,4.719934,1.0,5.5,22.277778,4.866667,2.655584,0.733333,3.333333,11.633333,1
L_G12_PSI05_V001_W0008,L_G12_PSI05_V001,8,15.9,21.0,2.330951,1.0,6.0,5.433333,10.033333,3.757491,0.933333,4.633333,5.866667,1
L_G12_PSI05_V001_W0009,L_G12_PSI05_V001,9,15.6,20.0,3.238655,1.0,5.2,10.488889,14.3,3.859526,1.0,5.566667,1.3,1
L_G12_PSI05_V001_W0010,L_G12_PSI05_V001,10,11.0,21.0,4.371626,1.0,4.0,19.111111,16.0,3.429847,1.0,5.566667,-5.0,1
L_G12_PSI05_V001_W0011,L_G12_PSI05_V001,11,8.1,12.0,3.034981,1.0,4.2,9.211111,14.166667,3.313744,1.0,5.066667,-6.066667,1
L_G12_PSI05_V001_W0012,L_G12_PSI05_V001,12,8.7,21.0,5.945119,0.9,4.2,35.344444,11.566667,3.548421,1.0,4.466667,-2.866667,1
L_G12_PSI05_V001_W0013,L_G12_PSI05_V001,13,6.7,13.0,3.560587,1.0,3.5,12.677778,9.266667,4.450575,0.966667,4.133333,-2.566667,1
L_G12_PSI05_V001_W0014,L_G12_PSI05_V001,14,8.8,14.0,3.259175,1.0,4.6,10.622222,7.833333,4.180229,0.966667,3.966667,0.966667,1
L_G12_PSI05_V001_W0015,L_G12_PSI05_V001,15,11.4,16.0,3.098387,1.0,4.0,9.6,8.066667,4.25496,0.966667,4.1,3.333333,1
L_G12_PSI05_V001_W0016,L_G12_PSI05_V001,16,13.0,17.0,4.422166,1.0,6.2,19.555556,8.966667,3.306049,1.0,4.033333,4.033333,1
L_G12_PSI05_V001_W0017,L_G12_PSI05_V001,17,10.0,15.0,3.162278,1.0,5.4,10.0,11.066667,3.593243,1.0,4.933333,-1.066667,1
L_G12_PSI05_V001_W0018,L_G12_PSI05_V001,18,10.5,15.0,2.505549,1.0,6.2,6.277778,11.466667,3.560944,1.0,5.2,-0.966667,1
L_G12_PSI05_V001_W0019,L_G12_PSI05_V001,19,11.4,15.0,2.633122,1.0,5.6,6.933333,11.166667,3.363331,1.0,5.933333,0.233333,1
L_G12_PSI05_V001_W0020,L_G12_PSI05_V001,20,12.1,17.0,4.383048,1.0,5.9,19.211111,10.633333,2.766983,1.0,5.733333,1.466667,1
L_G12_PSI05_V001_W0021,L_G12_PSI05_V001,21,14.7,22.0,3.860052,1.0,4.7,14.9,11.333333,3.173907,1.0,5.9,3.366667,1
L_G12_PSI05_V001_W0022,L_G12_PSI05_V001,22,12.2,17.0,2.573368,1.0,4.9,6.622222,12.733333,3.625407,1.0,5.4,-0.533333,1
L_G12_PSI05_V001_W0023,L_G12_PSI05_V001,23,12.3,18.0,3.093003,1.0,6.4,9.566667,13.0,3.605489,1.0,5.166667,-0.7,1
L_G12_PSI05_V001_W0024,L_G12_PSI05_V001,24,14.9,21.0,5.626327,1.0,4.5,31.655556,13.066667,3.175474,1.0,5.333333,1.833333,1
L_G12_PSI05_V001_W0025,L_G12_PSI05_V001,25,11.1,17.0,3.478505,1.0,5.1,12.1,13.133333,3.764233,1.0,5.266667,-2.033333,1
L_G12_PSI05_V001_W0026,L_G12_PSI05_V001,26,9.3,14.0,2.359378,1.0,4.6,5.566667,12.766667,4.065945,1.0,5.333333,-3.466667,1
L_G12_PSI05_V001_W0027,L_G12_PSI05_V001,27,8.1,15.0,3.414023,1.0,4.9,11.655556,11.766667,3.821404,1.0,4.733333,-3.666667,1
L_G12_PSI05_V001_W0028,L_G12_PSI05_V001,28,8.1,11.0,2.960856,1.0,4.4,8.766667,9.5,3.083969,1.0,4.866667,-1.4,1
L_G12_PSI05_V001_W0029,L_G12_PSI05_V001,29,14.0,21.0,3.771236,1.0,6.9,14.222222,8.5,2.911419,1.0,4.633333,5.5,1
L_G12_PSI05_V001_W0030,L_G12_PSI05_V001,30,16.8,24.0,4.104198,1.0,5.6,16.844444,10.066667,3.382038,1.0,5.4,6.733333,1
L_G12_PSI05_V001_W0031,L_G12_PSI05_V001,31,18.0,23.0,4.546061,1.0,5.1,20.666667,12.966667,3.612097,1.0,5.633333,5.033333,1
L_G12_PSI05_V001_W0032,L_G12_PSI05_V001,32,8.5,13.0,3.064129,1.0,6.1,9.388889,16.266667,4.140498,1.0,5.866667,-7.766667,1
L_G12_PSI05_V001_W0033,L_G12_PSI05_V001,33,4.6,10.0,2.875181,0.9,3.7,8.266667,14.433333,3.904796,1.0,5.6,-9.833333,1
L_G12_PSI05_V001_W0034,L_G12_PSI05_V001,34,6.9,17.0,4.012481,1.0,3.7,16.1,10.366667,3.495124,0.966667,4.966667,-3.466667,1
L_G12_PSI05_V001_W0035,L_G12_PSI05_V001,35,9.3,14.0,2.626785,1.0,3.9,6.9,6.666667,3.317264,0.966667,4.5,2.633333,1
L_G12_PSI05_V001_W0036,L_G12_PSI05_V001,36,4.3,8.0,2.359378,1.0,2.9,5.566667,6.933333,3.171482,0.966667,3.766667,-2.633333,1
L_G12_PSI05_V001_W0037,L_G12_PSI05_V001,37,1.8,4.0,1.398412,0.7,1.8,1.955556,6.833333,2.999548,1.0,3.5,-5.033333,0
L_G12_PSI05_V001_W0038,L_G12_PSI05_V001,38,1.5,3.0,1.080123,0.7,1.8,1.166667,5.133333,2.128192,0.9,2.866667,-3.633333,0
